Tipo,Prov_Ciudad,Zona,Calle,Precio,Metros,Habitación,Baños
Piso,Barcelona,El Poble Sec-Montjuïc,calle Poeta Cabanyes,800,51,2,1
Ático,Barcelona,NA,El Poblenou,2000,110,3,2
Apartamento,Barcelona,NA,Ciutat  Vella,2000,65,1,1
Piso,Barcelona,Eixample dreta,paseo De Gràcia,2500,100,3,2
Apartamento,Barcelona,NA,La Font de la Guatlla,1950,90,2,2
Piso,Barcelona,NA,Eixample dreta,3500,185,4,2
Piso,Barcelona,El Raval,calle Sant Antoni Abat,1100,50,1,1
Apartamento,Barcelona,NA,Born-Santa Caterina-Sant Pere-La Ribera,1300,70,2,1
Piso,Barcelona,La Font d´en Fargues,paseo Maragall,1000,85,1,1
Piso,Barcelona,Sant Ramon-La Maternitat,calle Carles III,1490,122,4,2
Piso,Barcelona,El Baix Guinardó,calle De Llorens i Barba,1200,62,2,1
Piso,Barcelona,Camp de l´Arpa,calle Provença,1800,85,3,1
Piso,Barcelona,NA,El Putxet i Farró,900,60,1,1
Apartamento,Barcelona,NA,Ciutat  Vella,3000,160,3,2
Piso,Barcelona,NA,Eixample dreta,3000,100,3,2
Piso,Barcelona,Sant Gervasi – La Bonanova,calle Muntaner,2250,160,6,3
Piso,Barcelona,Provençals del Poblenou,calle Peru,1800,104,2,2
Apartamento,Barcelona,NA,Sant Gervasi – Galvany,2500,135,4,2
Piso,Barcelona,NA,Les Tres Torres,2750,155,4,2
Piso,Barcelona,Born-Santa Caterina-Sant Pere-La Ribera,vía Laietana,1700,80,2,2
Piso,Barcelona,Les corts,calle Rocafort,1375,85,3,1
Piso,Barcelona,Eixample esquerra,calle De la Mercè,1530,65,2,1
Piso,Barcelona,Born-Santa Caterina-Sant Pere-La Ribera,calle Sant Agustí Vell,1700,92,2,1
Ático,Barcelona,El Raval,calle Ferlandina,990,52,2,1
Apartamento,Barcelona,NA,Eixample esquerra,1100,63,2,1
Piso,Barcelona,Camp de l´Arpa,calle Provença,1700,85,3,1
Apartamento,Barcelona,NA,Ciutat  Vella,3000,160,3,2
Loft,Barcelona,El Gótic,calle Baixada de Santa Clara,1850,120,2,2
Apartamento,Barcelona,NA,Sant Gervasi – Galvany,1500,55,1,1
Piso,Barcelona,NA,Eixample dreta,3000,100,3,2
Apartamento,Barcelona,NA,El Raval,1150,60,1,1
Piso,Barcelona,NA,Sant Gervasi – La Bonanova,2400,60,1,1
Piso,Barcelona,Vila de Gràcia,vía Augusta,1295,103,3,2
Piso,Barcelona,La Salut,calle De Sabino Arana,2950,120,3,2
Piso,Barcelona,Eixample dreta,calle Consell de Cent,1600,45,1,1
Piso,Barcelona,Eixample esquerra,rambla Cataluña,1595,60,2,1
Piso,Barcelona,El Poble Sec-Montjuïc,calle Parallel,1500,108,4,1
Piso,Barcelona,Fort Pienc,calle De Padilla,1250,100,3,1
Piso,Barcelona,Born-Santa Caterina-Sant Pere-La Ribera,calle Blanqueria,1000,40,1,1
Piso,Barcelona,Diagonal Mar,paseo Garcia Faria,2375,93,3,1
Estudio,Barcelona,El Raval,calle Joaquin Costa,900,48,1,1
Casa adosada,Barcelona,NA,Pedralbes,7400,490,5,6
Piso,Barcelona,Fort Pienc,calle Del General Mitre,1500,60,2,1
Loft,Barcelona,El Gótic,calle Baixada de Santa Clara,1550,108,1,1
Piso,Barcelona,NA,Sant Gervasi – Galvany,2500,140,4,2
Piso,Barcelona,NA,Diagonal Mar,1500,67,2,1
Piso,Barcelona,Eixample esquerra,calle Provenza,1100,67,2,1
Piso,Barcelona,Les Roquetes-Canyelles,calle Les Roquetes,1065,80,4,1
Piso,Barcelona,La Sagrada Família,calle Del Dos de Maig,1400,75,3,1
Piso,Barcelona,Eixample esquerra,calle Daragó,1100,50,2,1
Piso,Barcelona,El Baix Guinardó,calle Taxdirt,1250,110,4,2
Dúplex,Barcelona,Diagonal Mar,calle Selva de Mar,1045,69,2,1
Piso,Barcelona,Sant Gervasi – Galvany,calle Avenir,2300,160,5,2
Apartamento,Barcelona,NA,Born-Santa Caterina-Sant Pere-La Ribera,1300,60,1,1
Piso,Barcelona,Camp de l´Arpa,calle Provença,1700,85,3,2
Piso,Barcelona,La Sagrada Família,calle Del General Mitre,1500,50,1,1
Piso,Barcelona,Fort Pienc,calle Napols,1150,75,3,2
Piso,Barcelona,Eixample dreta,calle Mallorca,1800,115,4,2
Piso,Barcelona,Fort Pienc,calle Lepant,1050,85,4,1
Piso,Barcelona,El Raval,calle Cardona,875,36,1,1
Piso,Barcelona,NA,Sant Ramon-La Maternitat,3000,150,5,3
Piso,Barcelona,Eixample dreta,calle Mallorca,1950,125,3,2
Piso,Barcelona,El Carmel,calle Puig Castellar,1000,66,4,1
Apartamento,Barcelona,NA,Eixample esquerra,2500,150,4,2
Piso,Barcelona,Eixample dreta,plaza Tetuan,1980,110,2,2
Piso,Barcelona,Eixample dreta,calle Girona,2200,115,3,1
Piso,Barcelona,El Raval,calle D'en Marcús,1500,50,1,1
Piso,Barcelona,El Poblenou,calle El Poblenou,1190,60,2,1
Piso,Barcelona,Sant Antoni,calle Sant Pau,1550,80,1,1
Piso,Barcelona,El Gótic,calle Serra,840,30,1,1
Piso,Barcelona,El Raval,calle Sant Pau,1550,35,1,1
Piso,Barcelona,NA,Eixample dreta,2200,109,3,1
Piso,Barcelona,El Raval,calle Del General Mitre,1500,50,1,1
Piso,Barcelona,NA,Eixample dreta,2800,115,2,2
Piso,Barcelona,NA,Sant Gervasi – La Bonanova,2200,140,3,2
Piso,Barcelona,Provençals del Poblenou,calle Del Poblenou,1200,67,1,1
Piso,Barcelona,La Barceloneta,calle Dels Còdols,1550,84,2,1
Piso,Barcelona,NA,Pedralbes,1800,105,2,2
Piso,Barcelona,NA,Les Tres Torres,1800,75,3,2
Piso,Barcelona,Fort Pienc,calle De Berna,1900,100,2,2
Piso,Barcelona,NA,Eixample esquerra,1500,95,2,1
Apartamento,Barcelona,NA,Sant Gervasi – Galvany,1650,73,2,1
Piso,Barcelona,El Raval,calle De Rocafort,1800,95,3,2
Piso,Barcelona,NA,Sant Gervasi – Galvany,1400,68,1,1
Piso,Barcelona,NA,Born-Santa Caterina-Sant Pere-La Ribera,2300,150,3,2
Piso,Barcelona,NA,El Raval,1350,75,1,2
Piso,Barcelona,NA,El Putxet i Farró,2000,120,3,2
Piso,Barcelona,NA,Eixample esquerra,1600,82,2,2
Piso,Barcelona,NA,Sant Gervasi – La Bonanova,2250,160,6,3
Piso,Barcelona,NA,Eixample dreta,2700,240,4,2
Piso,Barcelona,NA,El Baix Guinardó,1400,78,2,2
Piso,Barcelona,NA,Born-Santa Caterina-Sant Pere-La Ribera,1300,50,2,1
Piso,Barcelona,NA,El Guinardó,1700,118,4,2
Apartamento,Barcelona,NA,El Raval,1350,106,2,2
Piso,Barcelona,NA,Vallcarca i els Penitents,1500,90,3,2
Piso,Barcelona,NA,El Raval,1600,92,2,1
Piso,Barcelona,NA,Vila de Gràcia,950,40,1,1
Piso,Barcelona,NA,Born-Santa Caterina-Sant Pere-La Ribera,1250,70,3,1
Piso,Barcelona,NA,Eixample dreta,1600,87,2,2
Piso,Barcelona,NA,Provençals del Poblenou,1400,65,2,2
Apartamento,Barcelona,NA,Ciutat  Vella,3000,160,3,2
Casa adosada,Barcelona,NA,El Guinardó,2650,233,3,2
Piso,Barcelona,NA,Eixample dreta,2950,156,3,3
Apartamento,Barcelona,NA,Ciutat  Vella,2600,160,7,3
Piso,Barcelona,El Poblenou,calle Pujades,1050,80,3,1
Apartamento,Barcelona,NA,Barcelona,1500,70,2,2
Apartamento,Barcelona,NA,La Salut,1200,69,2,1
Piso,Barcelona,La Font d´en Fargues,calle De Pedrell,1050,75,3,1
Loft,Barcelona,NA,El Gótic,950,40,1,1
Piso,Barcelona,NA,Eixample esquerra,2400,110,3,2
Apartamento,Barcelona,NA,Barcelona,1950,115,3,2
Piso,Barcelona,Sant Gervasi – Galvany,calle Mariano Cubi,1100,60,1,1
Ático,Barcelona,NA,Eixample dreta,1700,55,1,1
Piso,Barcelona,El Raval,calle Santa Madrona,750,58,1,1
Piso,Barcelona,Les corts,calle Madrid,1250,63,3,1
Piso,Barcelona,La Sagrada Família,calle Aragó,1400,71,2,1
Piso,Barcelona,El Putxet i Farró,calle Republica Argentina,2300,90,3,2
Piso,Barcelona,Sant Gervasi – Galvany,calle Calaf,920,27,1,1
Piso,Barcelona,Eixample dreta,calle Ali Bei,1750,65,1,1
Piso,Barcelona,Fort Pienc,calle Del Rosselló,3500,70,3,2
Casa,Barcelona,Vallvidrera-El Tibidabo-Les Planes,parque Budellera,3300,400,5,4
Apartamento,Barcelona,NA,Barcelona,1200,60,1,1
Apartamento,Barcelona,NA,La Barceloneta,1050,48,2,1
Piso,Barcelona,NA,El Gótic,1050,65,2,1
Piso,Barcelona,NA,La Sagrada Família,1550,75,2,1
Loft,Barcelona,NA,Camp de l´Arpa,1100,40,1,1
Piso,Barcelona,Vallcarca i els Penitents,calle Mediona,1200,130,2,2
Piso,Barcelona,El Gótic,calle De L'ángel,2800,95,3,2
Ático,Barcelona,Eixample dreta,calle Consell de Cent,1600,45,1,1
Piso,Barcelona,Camp de l´Arpa,calle Provença,1850,85,3,2
Piso,Barcelona,El Raval,calle Del Vallès,700,20,1,1
Piso,Barcelona,Horta,calle Rivero,925,65,2,2
Apartamento,Barcelona,Sant Gervasi – La Bonanova,calle Reus,1800,79,1,1
Ático,Barcelona,NA,El Putxet i Farró,1550,95,3,2
Piso,Barcelona,NA,Sant Gervasi – Galvany,2300,150,4,2
Piso,Barcelona,NA,Eixample esquerra,2700,157,5,2
Apartamento,Barcelona,NA,Eixample esquerra,1900,130,4,1
Piso,Barcelona,Sant Ramon-La Maternitat,calle Avinguda de Xile,1590,130,4,2
Chalet,Barcelona,NA,Sant Gervasi – La Bonanova,9500,20,10,0
Piso,Barcelona,NA,La Teixonera,950,70,3,1
Piso,Barcelona,NA,Eixample esquerra,950,69,2,1
Piso,Barcelona,El Raval,calle Carme,1500,93,2,1
Piso,Barcelona,La Sagrada Família,calle Valencia,1350,90,3,2
Piso,Barcelona,Born-Santa Caterina-Sant Pere-La Ribera,calle Trafalgar,1190,80,2,2
Piso,Barcelona,Sant Gervasi – La Bonanova,calle República Argentina,1400,87,3,2
Piso,Barcelona,Camp de l´Arpa,calle Provença,1850,85,3,2
Piso,Barcelona,El Turó de la Peira-Can Peguera,paseo De la Peira,735,66,3,1
Piso,Barcelona,Hostafrancs,calle Miquel Bleach,1050,50,2,1
Piso,Barcelona,Sant Gervasi – Galvany,calle Balmes,2700,265,3,4
Piso,Barcelona,Trinitat Vella,calle Finestrelles,845,74,3,1
Piso,Barcelona,Les corts,calle Avda Madrid,1600,96,3,2
Apartamento,Barcelona,NA,Eixample esquerra,1650,80,2,1
Piso,Barcelona,Eixample dreta,calle Arago,1250,75,3,1
Apartamento,Barcelona,NA,Les corts,1590,130,4,2
Piso,Barcelona,Provençals del Poblenou,calle De Pallars,1050,67,2,1
Casa adosada,Barcelona,NA,Sarrià,4500,282,5,3
Piso,Barcelona,NA,El Raval,900,61,2,1
Piso,Barcelona,La Prosperitat,calle Nou Pins,750,60,2,1
Piso,Barcelona,La Sagrada Família,calle Cartagena,925,52,3,1
Piso,Barcelona,Camp de l´Arpa,calle Provença,1850,85,3,2
Piso,Barcelona,Eixample esquerra,calle De Provença,2268,75,3,1
Piso,Barcelona,La Font d´en Fargues,calle Pedrell,1100,70,3,1
Piso,Barcelona,Fort Pienc,calle Del Rosselló,3500,70,3,2
Estudio,Barcelona,NA,Sant Martí,1100,40,1,1
Casa pareada,Barcelona,NA,El Clot,1400,110,3,2
Piso,Barcelona,Eixample dreta,calle De València,1990,130,4,3
Piso,Barcelona,La Teixonera,calle De Sant Dalmir,950,78,3,1
Piso,Barcelona,NA,El Raval,1800,146,4,2
Piso,Barcelona,Eixample esquerra,calle Enric Granados,1650,75,2,1
Piso,Barcelona,El Raval,calle De Palau,2600,80,3,2
Estudio,Barcelona,El Raval,calle Joaquin Costa,900,38,1,1
Piso,Barcelona,Sarrià,ronda General Mitre Con Balmes,3500,167,3,2
Piso,Barcelona,Sants,calle Sant Baltasar,750,55,1,1
Piso,Barcelona,La Sagrada Família,calle Sant Antoni Maria Claret,1200,85,2,2
Apartamento,Barcelona,NA,Barcelona,1400,70,1,1
Apartamento,Barcelona,NA,La Barceloneta,1200,60,2,1
Piso,Barcelona,El Raval,calle Del Rosselló,3500,70,3,2
Piso,Barcelona,NA,El Raval,1350,75,3,2
Piso,Barcelona,NA,Sant Gervasi – Galvany,4000,180,3,3
Piso,Barcelona,NA,Sant Antoni,2400,85,3,2
Ático,Barcelona,Eixample dreta,calle Consell de Cent,1600,65,1,1
Piso,Barcelona,NA,Horta,875,42,1,1
Piso,Barcelona,Sant Gervasi – La Bonanova,calle Folgueroles,2500,115,4,2
Piso,Barcelona,Pedralbes,calle Sor Elulalia D'anzizu,850,30,1,1
Piso,Barcelona,El Gótic,calle Del Rosselló,3500,70,3,2
Piso,Barcelona,Eixample esquerra,calle Villaroel,1500,90,4,1
Apartamento,Barcelona,NA,Diagonal Mar,2475,75,3,1
Piso,Barcelona,La Sagrada Família,calle Cartagena,1800,185,4,1
Apartamento,Barcelona,El Raval,calle Jaoquim Costa,900,30,1,1
Piso,Barcelona,NA,La Barceloneta,1395,60,3,1
Piso,Barcelona,NA,El Raval,900,39,1,1
Piso,Barcelona,NA,Eixample esquerra,2200,100,2,2
Piso,Barcelona,La Font d´en Fargues,calle Pedrell,1100,75,2,1
Piso,Barcelona,El Gótic,plaza Nou de Sant Francesc,1100,65,2,1
Piso,Barcelona,NA,Eixample esquerra,1450,70,2,1
Piso,Barcelona,Sant Gervasi – Galvany,vía Augusta,1475,90,3,1
Piso,Barcelona,Eixample dreta,calle De Girona,1275,85,3,2
Apartamento,Barcelona,NA,Sant Martí,1250,75,2,2
Piso,Barcelona,NA,Vila de Gràcia,950,40,1,1
Piso,Barcelona,Eixample dreta,calle Pau Claris,1700,79,2,1
Piso,Barcelona,La Sagrada Família,calle Padilla,1100,75,2,1
Piso,Barcelona,Diagonal Mar,calle Josep Pla,3900,100,3,2
Piso,Barcelona,La Barceloneta,calle Del Rosselló,3500,70,1,1
Apartamento,Barcelona,NA,Sant Martí,1350,90,4,1
Piso,Barcelona,El Gótic,calle De L'ángel,3500,95,3,2
Piso,Barcelona,Diagonal Mar,paseo Taulat,4500,100,3,2
Piso,Barcelona,NA,Eixample dreta,7000,320,3,4
Piso,Barcelona,NA,La Barceloneta,1050,33,1,1
Piso,Barcelona,El Raval,calle La Riereta,2500,90,2,1
Piso,Barcelona,NA,El Gótic,1700,80,2,1
Piso,Barcelona,NA,Provençals del Poblenou,2175,98,3,1
Piso,Barcelona,Sant Gervasi – Galvany,calle Ronda del General Mitre,1500,70,2,2
Apartamento,Barcelona,NA,El Turó de la Peira-Can Peguera,995,98,4,1
Piso,Barcelona,El Raval,calle Del Carme,1650,98,2,2
Piso,Barcelona,Sant Gervasi – La Bonanova,calle Ciutat de Balaguer,1790,100,3,2
Piso,Barcelona,Eixample esquerra,calle Rocafort,1700,90,2,1
Piso,Barcelona,Vila de Gràcia,plaza Gal de la Placidía,2000,80,3,2
Apartamento,Barcelona,NA,Navas,1475,98,4,2
Piso,Barcelona,El Raval,calle De Miquel Àngel,1726,72,2,2
Casa,Barcelona,Pedralbes,calle Esplugues,6500,380,4,4
Piso,Barcelona,Les Tres Torres,paseo Bonanova,3500,170,4,3
Apartamento,Barcelona,NA,Eixample dreta,2300,105,3,1
Piso,Barcelona,El Guinardó,calle Luís Sagnier,2800,150,3,2
Piso,Barcelona,NA,Eixample esquerra,1800,80,2,1
Piso,Barcelona,Eixample dreta,calle Mallorca,1000,72,2,2
Ático,Barcelona,Eixample dreta,calle Valencia,1700,83,3,2
Ático,Barcelona,NA,Born-Santa Caterina-Sant Pere-La Ribera,1100,45,1,1
Piso,Barcelona,NA,La Barceloneta,1050,65,2,1
Piso,Barcelona,Eixample dreta,paseo De Gracia,7000,226,4,4
Loft,Barcelona,El Carmel,calle Farnes,890,50,1,0
Apartamento,Barcelona,NA,Les corts,2000,110,4,2
Piso,Barcelona,Eixample esquerra,calle Villamari,1440,80,3,2
Piso,Barcelona,El Besòs i el Maresme,calle Diagonal,1500,80,4,1
Piso,Barcelona,El Gótic,calle De Sant Pere,1450,50,1,1
Piso,Barcelona,Vila de Gràcia,plaza Gal de la Placidía,1800,80,3,2
Piso,Barcelona,Born-Santa Caterina-Sant Pere-La Ribera,paseo Del Born,2900,120,3,1
Apartamento,Barcelona,NA,El Raval,1800,190,4,2
Piso,Barcelona,Les corts,calle Avenida de Xile,1590,136,4,2
Piso,Barcelona,El Raval,calle De Sant Domènec del Call,1500,60,2,1
Piso,Barcelona,Eixample dreta,calle Valencia,2100,145,2,2
Piso,Barcelona,La Barceloneta,calle Rector Bruguera,735,31,1,1
Piso,Barcelona,Sant Gervasi – Galvany,calle Sant Gervasi Galvany,1100,70,3,1
Apartamento,Barcelona,NA,Eixample dreta,2600,95,3,2
Piso,Barcelona,La Barceloneta,calle D'ataülf,900,50,1,1
Apartamento,Barcelona,NA,Eixample dreta,1990,120,4,2
Piso,Barcelona,Eixample esquerra,calle De Còrsega,3800,90,1,1
Piso,Barcelona,NA,El Putxet i Farró,3500,167,3,2
Piso,Barcelona,El Raval,calle De Sant Pau,1500,34,1,1
Piso,Barcelona,El Raval,calle Guifré,1000,75,1,1
Piso,Barcelona,El Putxet i Farró,calle Balmes,1690,120,3,2
Piso,Barcelona,El Raval,calle De Sant Domènec del Call,1543,58,2,1
Piso,Barcelona,La Barceloneta,calle De la Proclamació,1050,48,2,1
Casa,Barcelona,NA,Sarrià,4500,279,5,3
Apartamento,Barcelona,Sant Gervasi – Galvany,calle De Calaf,2300,95,1,1
Piso,Barcelona,Sant Antoni,calle Viladomat,1325,70,3,1
Piso,Barcelona,Eixample esquerra,calle Consell de Cent,1700,104,3,2
Piso,Barcelona,Sarrià - sant gervasi,calle Oliana,1250,56,2,1
Ático,Barcelona,Bon Pastor,calle Foc Follet,825,60,2,1
Piso,Barcelona,Born-Santa Caterina-Sant Pere-La Ribera,calle La Ribera,1500,65,1,1
Piso,Barcelona,NA,El Parc i la Llacuna,1150,60,1,2
Piso,Barcelona,NA,Ciutat  Vella,1350,67,2,1
Piso,Barcelona,El Raval,calle Sant Antoni Abat,950,76,3,1
Piso,Barcelona,Montbau,calle Harmonia,900,65,3,1
Piso,Barcelona,Camp de l´Arpa,calle Mallorca,1000,72,2,2
Piso,Barcelona,El Gótic,calle D'obradors,1725,55,2,1
Piso,Barcelona,El Gótic,calle Del Duc de Medinaceli,1900,130,3,1
Apartamento,Barcelona,NA,Sant Martí,1800,76,2,2
Piso,Barcelona,Vallcarca i els Penitents,calle Clotés,900,83,2,1
Piso,Barcelona,Born-Santa Caterina-Sant Pere-La Ribera,calle Placeta de Montcada,990,55,1,1
Piso,Barcelona,La Sagrada Família,calle De Provença,1700,90,3,2
Piso,Barcelona,Bon Pastor,calle Foc Follet,750,45,2,1
Apartamento,Barcelona,NA,Barcelona,2950,166,3,2
Ático,Barcelona,Sant Gervasi – La Bonanova,calle Maluquer,2300,200,4,2
Piso,Barcelona,NA,Ciutat  Vella,1700,95,3,2
Piso,Barcelona,Les corts,calle Bordeus,1500,90,3,1
Piso,Barcelona,Ciutat  Vella,calle Tallers,950,50,1,1
Piso,Barcelona,El Turó de la Peira-Can Peguera,calle Escultor Ordoñez,850,49,3,1
Piso,Barcelona,Eixample esquerra,calle D'obradors,1725,55,2,1
Piso,Barcelona,Sant Martí,paseo Del Taulat,2800,120,3,2
Piso,Barcelona,La Barceloneta,calle D'obradors,1725,55,2,1
Piso,Barcelona,NA,Can Baró,1500,60,2,1
Apartamento,Barcelona,NA,Eixample dreta,1750,85,3,2
Casa,Barcelona,Vallvidrera-El Tibidabo-Les Planes,calle Budellera,3300,400,5,4
Apartamento,Barcelona,NA,El Gótic,2150,80,2,1
Piso,Barcelona,Born-Santa Caterina-Sant Pere-La Ribera,calle De la Ribera,1600,65,2,1
Piso,Barcelona,NA,Pedralbes,1500,96,3,2
Piso,Barcelona,El Raval,calle Joaquin Costa,900,40,1,1
Piso,Barcelona,El Turó de la Peira-Can Peguera,calle Del Pedret,780,64,2,1
Piso,Barcelona,Eixample esquerra,calle D'obradors,1725,55,2,1
Ático,Barcelona,El Poblenou,rambla Poblenou,1800,105,2,2
Piso,Barcelona,La Font de la Guatlla,calle Indivil,1199,75,4,1
Piso,Barcelona,La Sagrada Família,calle De Roger de Flor,1750,50,4,1
Piso,Barcelona,La Barceloneta,calle D'obradors,1725,55,2,1
Piso,Barcelona,Pedralbes,calle Osi,1800,55,1,1
Apartamento,Barcelona,NA,Eixample esquerra,1800,60,2,1
Apartamento,Barcelona,NA,Born-Santa Caterina-Sant Pere-La Ribera,1600,65,2,1
Piso,Barcelona,Can Baró,calle De Vallseca,1350,57,2,1
Piso,Barcelona,El Baix Guinardó,calle Mare de Deu de Montserrat,900,76,3,1
Piso,Barcelona,Eixample esquerra,calle De Francesc Alegre,1450,50,2,1
Piso,Barcelona,NA,Eixample dreta,2490,90,2,2
Piso,Barcelona,NA,Sant Gervasi – La Bonanova,2700,181,4,2
Piso,Barcelona,Eixample dreta,calle D'obradors,1725,55,2,1
Piso,Barcelona,El Raval,calle De L'arc del Teatre,1500,50,2,1
Piso,Barcelona,Baró de Viver,calle De la Mare de Déu de Port,950,40,1,1
Piso,Barcelona,La Barceloneta,calle De Ginebra,1400,55,1,1
Piso,Barcelona,Horta,calle Plaça Deivissa,1000,85,2,2
Casa,Barcelona,NA,El Gótic,3800,190,2,1
Apartamento,Barcelona,NA,Horta,1350,55,2,1
Apartamento,Barcelona,NA,La Barceloneta,900,35,1,1
Piso,Barcelona,El Raval,calle Eixample,1200,60,2,1
Piso,Barcelona,Sant Antoni,calle Sepulveda,2000,50,2,1
Piso,Barcelona,Eixample esquerra,calle De Joan Güell,1150,85,1,1
Piso,Barcelona,El Poblenou,calle Roc Boronat,1180,80,1,1
Casa,Barcelona,NA,Pedralbes,6500,450,5,4
Piso,Barcelona,Born-Santa Caterina-Sant Pere-La Ribera,vía Laietana,1800,80,2,1
Piso,Barcelona,El Gótic,calle D'obradors,1725,55,2,1
Piso,Barcelona,Eixample esquerra,calle Rosellón,2000,138,3,2
Piso,Barcelona,El Gótic,calle De Sant Fructuós,1500,50,2,1
Piso,Barcelona,Vila de Gràcia,calle Via Augusta,1350,100,3,2
Piso,Barcelona,Born-Santa Caterina-Sant Pere-La Ribera,calle De la Princesa,1690,102,2,1
Piso,Barcelona,Fort Pienc,calle Del Francolí,1750,55,3,1
Piso,Barcelona,La Vila Olímpica,calle Llull,1700,114,4,2
Piso,Barcelona,La Sagrera,calle Avinguda Meridiana,1150,90,4,2
Apartamento,Barcelona,NA,La Salut,2100,120,2,2
Piso,Barcelona,Eixample esquerra,calle Eixample,1800,82,3,2
Piso,Barcelona,Pedralbes,calle De Fontcoberta,1650,90,3,2
Piso,Barcelona,La Barceloneta,calle De Berenguer Mallol,3360,70,2,2
Piso,Barcelona,Vila de Gràcia,calle Escorial,980,55,1,1
Piso,Barcelona,Sant Antoni,calle Viladomat,1350,98,4,2
Piso,Barcelona,NA,Eixample esquerra,1500,60,1,1
Dúplex,Barcelona,Les corts,pasaje Planell,2200,75,4,2
Piso,Barcelona,Diagonal Mar,paseo Taulat,2500,110,3,2
Piso,Barcelona,Sant Antoni,calle Nou de la Rambla,1700,60,1,1
Piso,Barcelona,La Sagrada Família,calle De Sant Andreu,1250,55,1,1
Piso,Barcelona,El Raval,calle De la Reina Amàlia,1100,56,3,1
Casa adosada,Barcelona,NA,Sant Martí,1450,110,2,1
Piso,Barcelona,Eixample esquerra,calle Avinguda de Roma,1400,60,2,1
Piso,Barcelona,El Gótic,calle Del Bou de Sant Pere,1300,70,2,1
Piso,Barcelona,Born-Santa Caterina-Sant Pere-La Ribera,calle Sant Pere Més Baix,1650,95,3,1
Piso,Barcelona,La Sagrada Família,calle Gaudi,1250,100,3,1
Piso,Barcelona,Vila de Gràcia,calle Reig i Bonet,900,65,3,1
Loft,Barcelona,Camp de l´Arpa,calle Valencia,1700,135,2,2
Casa,Barcelona,Vallvidrera-El Tibidabo-Les Planes,calle Romaninar,4300,360,4,3
Piso,Barcelona,La Barceloneta,calle De Berenguer Mallol,3850,70,1,1
Piso,Barcelona,Eixample esquerra,calle Del Vallès,800,20,1,1
Piso,Barcelona,NA,La Barceloneta,1250,80,2,1
Piso,Barcelona,Diagonal Mar,calle Garcia Faria,2100,68,3,2
Piso,Barcelona,Born-Santa Caterina-Sant Pere-La Ribera,calle De Montcada,990,53,1,1
Apartamento,Barcelona,NA,Barcelona,3800,243,5,3
Piso,Barcelona,Eixample esquerra,calle Josep Tarradellas,1300,75,2,1
Apartamento,Barcelona,NA,Eixample esquerra,1500,67,2,1
Piso,Barcelona,Pedralbes,calle Osi,1800,55,1,1
Piso,Barcelona,Diagonal Mar,calle Selva de Mar,1045,69,2,1
Piso,Barcelona,El Poblenou,rambla Poblenou,1350,112,4,2
Piso,Barcelona,El Raval,calle Dels Tallers,1800,50,2,1
Apartamento,Barcelona,NA,La Sagrada Família,2000,80,2,1
Piso,Barcelona,El Gótic,calle Mare de Déu Dels Desemparats,2250,100,3,2
Apartamento,Barcelona,NA,Eixample dreta,1400,88,3,2
Casa,Barcelona,NA,Sant Ramon-La Maternitat,1800,240,4,1
Piso,Barcelona,Sant Gervasi – Galvany,calle Casanova,1600,106,2,2
Piso,Barcelona,La Salut,calle Comtal,1290,60,1,1
Piso,Barcelona,Les corts,calle Arizala,1100,90,3,2
Piso,Barcelona,Born-Santa Caterina-Sant Pere-La Ribera,calle Dels Corders,1300,68,1,1
Apartamento,Barcelona,NA,Vila de Gràcia,1400,70,2,1
Piso,Barcelona,La Salut,calle D'alfons El Magnànim,1850,50,4,2
Piso,Barcelona,NA,Born-Santa Caterina-Sant Pere-La Ribera,1500,60,1,1
Piso,Barcelona,El Raval,calle Del Raval,1800,52,2,1
Piso,Barcelona,Eixample dreta,paseo Gracia,3500,95,2,2
Piso,Barcelona,La Sagrada Família,calle Diagonal,3500,40,1,1
Piso,Barcelona,NA,Sant Gervasi – Galvany,1500,108,3,1
Piso,Barcelona,La Barceloneta,calle La Barceloneta,1650,95,3,1
Piso,Barcelona,NA,Eixample dreta,1600,60,2,1
Piso,Barcelona,Eixample esquerra,calle Calabria,1600,65,2,1
Piso,Barcelona,Sant Gervasi – Galvany,calle Casanova,1900,128,3,2
Piso,Barcelona,La Barceloneta,calle De Pontevedra,990,50,1,1
Piso,Barcelona,La Clota,calle De Catalunya,2000,90,2,1
Piso,Barcelona,Sant Antoni,calle Muntaner,2500,70,2,2
Piso,Barcelona,Ciutat  Vella,calle De N'aglà,1900,170,2,1
Piso,Barcelona,Sants-Badal,calle Canalejas,840,62,3,1
Ático,Barcelona,NA,El Putxet i Farró,2100,120,3,2
Piso,Barcelona,La Barceloneta,calle De Pontevedra,990,50,1,1
Piso,Barcelona,El Raval,calle De Santa Margarida,1500,112,3,1
Piso,Barcelona,Fort Pienc,calle Marina,1600,90,3,1
Piso,Barcelona,Fort Pienc,calle De la Pescateria,2000,70,1,1
Piso,Barcelona,El Verdum,calle Verdun,825,62,3,1
Piso,Barcelona,La Barceloneta,calle Rector Bruguera,735,31,1,1
Piso,Barcelona,El Poble Sec-Montjuïc,calle Poble Sec,925,66,2,1
Piso,Barcelona,El Baix Guinardó,travesía Gracia,1100,70,2,1
Piso,Barcelona,El Raval,edificio World Trade Center,2412,114,2,2
Piso,Barcelona,Sant Antoni,calle Sepulveda,1300,80,4,2
