Tipo,Prov_Ciudad,Zona,Calle,Precio,Metros,Habitación,Baños
Piso,Barcelona,Born-Santa Caterina-Sant Pere-La Ribera,calle Argenter,740,21,1,1
Ático,Barcelona,NA,Sant Gervasi – La Bonanova,2200,170,3,2
Piso,Barcelona,NA,Sarrià,2400,140,3,2
Piso,Barcelona,El Raval,pasaje Sant Bernat,875,37,1,0
Piso,Barcelona,NA,Eixample dreta,1100,120,2,1
Piso,Barcelona,Eixample esquerra,calle Enric Granados,11900,674,5,2
Piso,Barcelona,Eixample esquerra,calle De Ballester,1900,80,3,2
Piso,Barcelona,Provençals del Poblenou,calle Peru,1100,70,3,1
Piso,Barcelona,Vallcarca i els Penitents,calle Espinoi,1300,82,3,2
Piso,Barcelona,El Baix Guinardó,calle Rocafort,1200,90,3,2
Piso,Barcelona,Sant Gervasi – Galvany,calle Del General Mitre,1420,80,3,2
Piso,Barcelona,El Carmel,calle Nou,950,55,1,1
Piso,Barcelona,Pedralbes,calle Del Capità Arenas,3350,182,3,2
Piso,Barcelona,Sant Ramon-La Maternitat,calle Cardenal Reig,1200,85,2,2
Piso,Barcelona,Eixample dreta,ronda Sant Pere,2550,126,4,2
Piso,Barcelona,Fort Pienc,calle De Ballester,1900,50,3,2
Piso,Barcelona,Vallcarca i els Penitents,calle Mare de Deu del Coll,1000,95,3,1
Piso,Barcelona,El Raval,calle De Ballester,1900,50,3,2
Bajo,Barcelona,La Prosperitat,calle La Prosperitat,875,65,2,1
Estudio,Barcelona,El Coll,calle Dante Alhigieri,400,15,1,0
Dúplex,Barcelona,NA,El Putxet i Farró,3600,115,3,3
Piso,Barcelona,Sant Antoni,calle De Viladomat,1200,69,2,1
Piso,Barcelona,NA,Eixample dreta,2500,110,2,2
Piso,Barcelona,Gràcia Nova,calle De Ballester,1900,50,3,2
Piso,Barcelona,El Raval,calle De Ballester,1900,50,3,2
Bajo,Barcelona,La Prosperitat,calle La Prosperitat,875,65,2,1
Piso,Barcelona,Sant Antoni,calle De Viladomat,1200,69,2,1
Piso,Barcelona,NA,Eixample dreta,1100,120,2,1
Piso,Barcelona,NA,Eixample dreta,2500,110,2,2
Piso,Barcelona,Gràcia Nova,calle De Ballester,1900,50,3,2
Loft,Barcelona,NA,La Sagrera,775,25,1,0
Piso,Barcelona,El Congrés i els Indians,calle De Concepción Arenal,1300,91,4,1
Piso,Barcelona,Eixample dreta,calle Dreta de L´Eixample,2000,55,2,1
Piso,Barcelona,Sant Gervasi – Galvany,calle De Lavenir,2300,175,5,2
Ático,Barcelona,NA,Sant Antoni,1150,50,1,1
Piso,Barcelona,NA,El Gótic,1150,54,1,1
Loft,Barcelona,El Raval,calle Pedro,840,50,1,0
Apartamento,Barcelona,NA,El Gótic,1150,65,2,1
Piso,Barcelona,Sarrià,calle Capità Arenas,1650,85,3,1
Piso,Barcelona,Born-Santa Caterina-Sant Pere-La Ribera,calle Freixures,750,30,1,1
Apartamento,Barcelona,NA,Ciutat  Vella,1100,65,1,1
Piso,Barcelona,El Gótic,calle La Rambla,1200,60,2,1
Piso,Barcelona,La Prosperitat,calle Mas Duran,750,45,2,1
Piso,Barcelona,Eixample esquerra,calle Comte Urgell,1100,71,3,2
Loft,Barcelona,El Gótic,calle Domenec del Call,1000,54,1,1
Piso,Barcelona,Trinitat Vella,calle De Finestrelles,675,60,3,1
Apartamento,Barcelona,NA,Eixample dreta,6000,185,3,3
Casa,Barcelona,NA,Barcelona,2800,305,5,4
Piso,Barcelona,Eixample dreta,calle Consell de Cent,2300,80,2,1
Piso,Barcelona,NA,Eixample dreta,1700,60,2,1
Piso,Barcelona,NA,La Barceloneta,1100,35,1,1
Piso,Barcelona,NA,Sant Antoni,1200,70,2,1
Piso,Barcelona,Eixample esquerra,calle Borrell,1120,75,2,1
Piso,Barcelona,Les Tres Torres,calle Castellnou,1300,90,4,2
Piso,Barcelona,El Poble Sec-Montjuïc,calle Creu Dels Molers,1150,62,1,1
Apartamento,Barcelona,NA,Vila de Gràcia,1400,135,2,2
Piso,Barcelona,NA,Sant Gervasi – Galvany,1100,50,2,1
Piso,Barcelona,La Sagrada Família,calle Industria,1200,107,3,2
Piso,Barcelona,El Poblenou,calle Taulat,850,80,2,1
Piso,Barcelona,La Vila Olímpica,calle Ramon Trias Fargas,1950,85,3,2
Piso,Barcelona,NA,El Gótic,1000,40,1,1
Estudio,Barcelona,Eixample esquerra,calle Eixample,900,50,1,1
Piso,Barcelona,NA,Sant Gervasi – La Bonanova,2100,180,3,3
Piso,Barcelona,NA,Eixample esquerra,1600,97,3,2
Loft,Barcelona,El Raval,calle Pedro,840,50,1,0
Piso,Barcelona,NA,Eixample dreta,1700,50,1,1
Piso,Barcelona,Sarrià,calle Sarrià,2400,140,4,2
Piso,Barcelona,NA,Sant Gervasi – La Bonanova,1100,50,1,1
Piso,Barcelona,NA,Eixample esquerra,1600,97,3,2
Loft,Barcelona,El Raval,calle Pedro,840,50,1,0
Piso,Barcelona,Sarrià,calle Sarrià,2400,140,4,2
Piso,Barcelona,NA,Eixample dreta,1700,50,1,1
Piso,Barcelona,NA,Sant Gervasi – La Bonanova,1100,50,1,1
Ático,Barcelona,NA,El Guinardó,1300,90,3,2
Piso,Barcelona,Sant Martí,vía Gran de Les Corts Catalanes,1050,67,2,1
